Date,Match_type,Outcome,Overs,Team A,Team B,Winner,Toss,Venue
6/14/2015,ODI,winner New Zealand by wickets 3,50,England, New Zealand,England,bat,The Rose Bowl
6/17/2015,ODI,winner England by wickets 7,50,England, New Zealand,New Zealand,bat,Trent Bridge
6/20/2015,ODI,winner England by wickets 3,50,England, New Zealand,England,field,Riverside Ground
8/27/2015,ODI,winner Australia by runs 23,50,Ireland, Australia,Australia,bat,Civil Service Cricket Club Stormont
9/3/2015,ODI,winner Australia by runs 59,50,England, Australia,Australia,bat,The Rose Bowl
9/5/2015,ODI,winner Australia by runs 64,50,England, Australia,England,field,Lord's
9/8/2015,ODI,winner England by runs 93,50,England, Australia,England,bat,Old Trafford
9/11/2015,ODI,winner England by wickets 3,50,England, Australia,Australia,bat,Headingley
9/13/2015,ODI,winner Australia by wickets 8,50,England, Australia,England,bat,Old Trafford
6/15/2014,ODI,winner India by wickets 7,50,Bangladesh, India,Bangladesh,bat,Shere Bangla National Stadium
6/17/2014,ODI,winner India by runs 47,50,Bangladesh, India,Bangladesh,field,Shere Bangla National Stadium
6/19/2014,ODI,no result,50,Bangladesh, India,India,bat,Shere Bangla National Stadium
8/23/2014,ODI,winner Pakistan by wickets 4,50,Sri Lanka, Pakistan,Pakistan,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
8/26/2014,ODI,winner Sri Lanka by runs 77,50,Sri Lanka, Pakistan,Sri Lanka,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
8/30/2014,ODI,winner Sri Lanka by wickets 7,50,Sri Lanka, Pakistan,Pakistan,bat,Rangiri Dambulla International Stadium
10/21/2014,ODI,winner South Africa by wickets 6,50,New Zealand, South Africa,South Africa,field,Bay Oval
10/24/2014,ODI,winner South Africa by runs 72,50,New Zealand, South Africa,New Zealand,field,Bay Oval
10/27/2014,ODI,no result,50,New Zealand, South Africa,New Zealand,field,Seddon Park
1/11/2015,ODI,winner New Zealand by wickets 3,50,New Zealand, Sri Lanka,Sri Lanka,bat,Hagley Oval
1/15/2015,ODI,winner Sri Lanka by wickets 6,50,New Zealand, Sri Lanka,New Zealand,bat,Seddon Park
1/17/2015,ODI,no result,50,New Zealand, Sri Lanka,Sri Lanka,field,Eden Park
1/20/2015,ODI,winner New Zealand by wickets 4,50,New Zealand, Sri Lanka,Sri Lanka,bat,Saxton Oval
1/23/2015,ODI,winner New Zealand by runs 108,50,New Zealand, Sri Lanka,Sri Lanka,field,University Oval
1/25/2015,ODI,winner New Zealand by runs 120,50,New Zealand, Sri Lanka,New Zealand,bat,University Oval
1/29/2015,ODI,winner Sri Lanka by runs 34,50,New Zealand, Sri Lanka,Sri Lanka,bat,Westpac Stadium
1/31/2015,ODI,winner New Zealand by wickets 7,50,New Zealand, Pakistan,New Zealand,field,Westpac Stadium
2/3/2015,ODI,winner New Zealand by runs 119,50,New Zealand, Pakistan,New Zealand,bat,McLean Park
11/26/2014,ODI,winner Sri Lanka by runs 25,50,Sri Lanka, England,England,field,R Premadasa Stadium
11/29/2014,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, England,England,bat,R Premadasa Stadium
12/3/2014,ODI,winner England by wickets 5,50,Sri Lanka, England,Sri Lanka,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
12/7/2014,ODI,winner Sri Lanka by wickets 6,50,Sri Lanka, England,England,bat,R Premadasa Stadium
2014/12/10)/datetime.date(2014/12/11,ODI,winner England by wickets 5,50,Sri Lanka, England,England,field,Pallekele International Cricket Stadium
12/13/2014,ODI,winner Sri Lanka by runs 90,50,Sri Lanka, England,Sri Lanka,bat,Pallekele International Cricket Stadium
12/16/2014,ODI,winner Sri Lanka by runs 87,50,Sri Lanka, England,Sri Lanka,bat,R Premadasa Stadium
11/14/2014,ODI,winner Australia by runs 32,50,Australia, South Africa,South Africa,field,Western Australia Cricket Association Ground
11/16/2014,ODI,winner South Africa by wickets 3,50,Australia, South Africa,Australia,bat,Western Australia Cricket Association Ground
11/19/2014,ODI,winner Australia by runs 73,50,Australia, South Africa,Australia,bat,Manuka Oval
11/21/2014,ODI,winner Australia by wickets 3,50,Australia, South Africa,South Africa,bat,Melbourne Cricket Ground
11/23/2014,ODI,winner Australia by wickets 2,50,Australia, South Africa,South Africa,bat,Sydney Cricket Ground
1/18/2015,ODI,winner Australia by wickets 4,50,Australia, India,India,bat,Melbourne Cricket Ground
1/16/2015,ODI,winner Australia by wickets 3,50,Australia, England,England,bat,Sydney Cricket Ground
1/20/2015,ODI,winner England by wickets 9,50,England, India,India,bat,Brisbane Cricket Ground Woolloongabba
1/23/2015,ODI,winner Australia by wickets 3,50,Australia, England,Australia,field,Bellerive Oval
1/26/2015,ODI,no result,50,Australia, India,Australia,field,Sydney Cricket Ground
1/30/2015,ODI,winner England by wickets 3,50,England, India,England,field,Western Australia Cricket Association Ground
2/1/2015,ODI,winner Australia by runs 112,50,Australia, England,England,field,Western Australia Cricket Association Ground
7/20/2014,ODI,winner Zimbabwe by wickets 8,50,Zimbabwe, Afghanistan,Zimbabwe,field,Queens Sports Club
7/22/2014,ODI,winner Afghanistan by wickets 2,50,Zimbabwe, Afghanistan,Afghanistan,field,Queens Sports Club
7/24/2014,ODI,winner Afghanistan by runs 100,50,Zimbabwe, Afghanistan,Zimbabwe,field,Queens Sports Club
11/21/2014,ODI,winner Bangladesh by runs 87,50,Bangladesh, Zimbabwe,Zimbabwe,field,Zahur Ahmed Chowdhury Stadium
11/23/2014,ODI,winner Bangladesh by runs 68,50,Bangladesh, Zimbabwe,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
11/26/2014,ODI,winner Bangladesh by runs 124,50,Bangladesh, Zimbabwe,Zimbabwe,field,Shere Bangla National Stadium
11/28/2014,ODI,winner Bangladesh by runs 21,50,Bangladesh, Zimbabwe,Bangladesh,bat,Shere Bangla National Stadium
12/1/2014,ODI,winner Bangladesh by wickets 5,50,Bangladesh, Zimbabwe,Zimbabwe,bat,Shere Bangla National Stadium
5/8/2015,ODI,no result,50,Ireland, England,England,field,The Village Malahide
10/8/2014,ODI,winner West Indies by runs 124,50,India, West Indies,India,field,Nehru Stadium
10/11/2014,ODI,winner India by runs 48,50,India, West Indies,India,bat,Feroz Shah Kotla
10/17/2014,ODI,winner India by runs 59,50,India, West Indies,West Indies,field,Himachal Pradesh Cricket Association Stadium
11/2/2014,ODI,winner India by runs 169,50,India, Sri Lanka,Sri Lanka,field,Barabati Stadium
11/6/2014,ODI,winner India by wickets 6,50,India, Sri Lanka,Sri Lanka,bat,Sardar Patel Stadium Motera
11/9/2014,ODI,winner India by wickets 6,50,India, Sri Lanka,Sri Lanka,bat,Rajiv Gandhi International Stadium Uppal
11/13/2014,ODI,winner India by runs 153,50,India, Sri Lanka,India,bat,Eden Gardens
11/16/2014,ODI,winner India by wickets 3,50,India, Sri Lanka,Sri Lanka,bat,JSCA International Stadium Complex
2/3/2016,ODI,winner England by runs 39,50,South Africa, England,England,bat,Mangaung Oval
2/6/2016,ODI,winner England by wickets 5,50,South Africa, England,South Africa,bat,St George's Park
2/9/2016,ODI,winner South Africa by wickets 7,50,South Africa, England,England,bat,SuperSport Park
2/12/2016,ODI,winner South Africa by wickets 1,50,South Africa, England,South Africa,field,New Wanderers Stadium
2/14/2016,ODI,winner South Africa by wickets 5,50,South Africa, England,South Africa,field,Newlands
11/28/2014,ODI,winner United Arab Emirates by wickets 5,50,United Arab Emirates, Afghanistan,Afghanistan,bat,ICC Academy
11/30/2014,ODI,winner United Arab Emirates by wickets 6,50,United Arab Emirates, Afghanistan,United Arab Emirates,field,ICC Academy
1/12/2015,ODI,winner Ireland by wickets 3,50,Ireland, Scotland,Ireland,field,Dubai International Cricket Stadium
1/17/2015,ODI,winner Afghanistan by runs 71,50,Afghanistan, Ireland,Ireland,field,Dubai International Cricket Stadium
1/8/2015,ODI,winner Afghanistan by wickets 8,50,Afghanistan, Scotland,Afghanistan,field,ICC Academy
1/14/2015,ODI,winner Scotland by runs 150,50,Afghanistan, Scotland,Scotland,bat,Sheikh Zayed Stadium
7/10/2015,ODI,winner South Africa by wickets 8,50,Bangladesh, South Africa,Bangladesh,bat,Shere Bangla National Stadium
7/12/2015,ODI,winner Bangladesh by wickets 7,50,Bangladesh, South Africa,South Africa,bat,Shere Bangla National Stadium
7/15/2015,ODI,winner Bangladesh by wickets 9,50,Bangladesh, South Africa,South Africa,bat,Zahur Ahmed Chowdhury Stadium
8/19/2015,ODI,winner South Africa by runs 20,50,South Africa, New Zealand,New Zealand,field,SuperSport Park
8/23/2015,ODI,winner New Zealand by wickets 8,50,South Africa, New Zealand,South Africa,bat,Senwes Park
8/26/2015,ODI,winner South Africa by runs 62,50,South Africa, New Zealand,South Africa,bat,Kingsmead
4/17/2015,ODI,winner Bangladesh by runs 79,50,Bangladesh, Pakistan,Bangladesh,bat,Shere Bangla National Stadium
4/19/2015,ODI,winner Bangladesh by wickets 7,50,Bangladesh, Pakistan,Pakistan,bat,Shere Bangla National Stadium
4/22/2015,ODI,winner Bangladesh by wickets 8,50,Bangladesh, Pakistan,Pakistan,bat,Shere Bangla National Stadium
7/11/2015,ODI,winner Pakistan by wickets 6,50,Sri Lanka, Pakistan,Pakistan,field,Rangiri Dambulla International Stadium
7/15/2015,ODI,winner Sri Lanka by wickets 2,50,Sri Lanka, Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
7/19/2015,ODI,winner Pakistan by runs 135,50,Sri Lanka, Pakistan,Pakistan,bat,R Premadasa Stadium
7/22/2015,ODI,winner Pakistan by wickets 7,50,Sri Lanka, Pakistan,Sri Lanka,bat,R Premadasa Stadium
7/26/2015,ODI,winner Sri Lanka by runs 165,50,Sri Lanka, Pakistan,Sri Lanka,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
5/26/2015,ODI,winner Pakistan by runs 41,50,Pakistan, Zimbabwe,Pakistan,bat,Gaddafi Stadium
5/29/2015,ODI,winner Pakistan by wickets 6,50,Pakistan, Zimbabwe,Pakistan,field,Gaddafi Stadium
5/31/2015,ODI,no result,50,Pakistan, Zimbabwe,Pakistan,bat,Gaddafi Stadium
6/18/2015,ODI,winner Bangladesh by runs 79,50,Bangladesh, India,Bangladesh,bat,Shere Bangla National Stadium
6/21/2015,ODI,winner Bangladesh by wickets 6,50,Bangladesh, India,India,bat,Shere Bangla National Stadium
6/24/2015,ODI,winner India by runs 77,50,Bangladesh, India,Bangladesh,field,Shere Bangla National Stadium
7/10/2015,ODI,winner India by runs 4,50,Zimbabwe, India,Zimbabwe,field,Harare Sports Club
7/12/2015,ODI,winner India by runs 62,50,Zimbabwe, India,Zimbabwe,field,Harare Sports Club
7/14/2015,ODI,winner India by runs 83,50,Zimbabwe, India,Zimbabwe,field,Harare Sports Club
8/2/2015,ODI,winner Zimbabwe by wickets 7,50,Zimbabwe, New Zealand,Zimbabwe,field,Harare Sports Club
8/4/2015,ODI,winner New Zealand by wickets 10,50,Zimbabwe, New Zealand,Zimbabwe,bat,Harare Sports Club
8/7/2015,ODI,winner New Zealand by runs 38,50,Zimbabwe, New Zealand,Zimbabwe,field,Harare Sports Club
1/12/2016,ODI,winner Australia by wickets 5,50,Australia, India,India,bat,Western Australia Cricket Association Ground
1/15/2016,ODI,winner Australia by wickets 7,50,Australia, India,India,bat,Brisbane Cricket Ground Woolloongabba
1/17/2016,ODI,winner Australia by wickets 3,50,Australia, India,Australia,field,Melbourne Cricket Ground
1/20/2016,ODI,winner Australia by runs 25,50,Australia, India,Australia,bat,Manuka Oval
1/23/2016,ODI,winner India by wickets 6,50,Australia, India,India,field,Sydney Cricket Ground
11/11/2015,ODI,winner Pakistan by wickets 6,50,England, Pakistan,England,bat,Sheikh Zayed Stadium
11/13/2015,ODI,winner England by runs 95,50,England, Pakistan,England,bat,Sheikh Zayed Stadium
11/17/2015,ODI,winner England by wickets 6,50,England, Pakistan,Pakistan,bat,Sharjah Cricket Stadium
11/20/2015,ODI,winner England by runs 84,50,England, Pakistan,England,bat,Dubai International Cricket Stadium
10/11/2015,ODI,winner South Africa by runs 5,50,India, South Africa,South Africa,bat,Green Park
10/14/2015,ODI,winner India by runs 22,50,India, South Africa,India,bat,Holkar Cricket Stadium
10/18/2015,ODI,winner South Africa by runs 18,50,India, South Africa,South Africa,bat,Saurashtra Cricket Association Stadium
10/22/2015,ODI,winner India by runs 35,50,India, South Africa,India,bat,MA Chidambaram Stadium Chepauk
10/25/2015,ODI,winner South Africa by runs 214,50,India, South Africa,South Africa,bat,Wankhede Stadium
11/16/2015,ODI,winner Hong Kong by runs 89,50,United Arab Emirates, Hong Kong,Hong Kong,bat,ICC Academy
12/26/2015,ODI,winner New Zealand by wickets 7,50,New Zealand, Sri Lanka,Sri Lanka,bat,Hagley Oval
12/28/2015,ODI,winner New Zealand by wickets 10,50,New Zealand, Sri Lanka,Sri Lanka,bat,Hagley Oval
12/31/2015,ODI,winner Sri Lanka by wickets 8,50,New Zealand, Sri Lanka,New Zealand,bat,Saxton Oval
1/2/2016,ODI,no result,50,New Zealand, Sri Lanka,Sri Lanka,field,Saxton Oval
1/5/2016,ODI,winner New Zealand by runs 36,50,New Zealand, Sri Lanka,Sri Lanka,field,Bay Oval
1/25/2016,ODI,winner New Zealand by runs 70,50,New Zealand, Pakistan,Pakistan,field,Basin Reserve
2/3/2016,ODI,winner New Zealand by runs 159,50,New Zealand, Australia,Australia,field,Eden Park
2/6/2016,ODI,winner Australia by wickets 4,50,New Zealand, Australia,New Zealand,bat,Westpac Stadium
2/8/2016,ODI,winner New Zealand by runs 55,50,New Zealand, Australia,Australia,field,Seddon Park
1/31/2016,ODI,winner New Zealand by wickets 3,50,New Zealand, Pakistan,Pakistan,bat,Eden Park
11/1/2015,ODI,winner Sri Lanka by wickets 1,50,Sri Lanka, West Indies,Sri Lanka,field,R Premadasa Stadium
11/4/2015,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, West Indies,West Indies,bat,R Premadasa Stadium
11/7/2015,ODI,winner Sri Lanka by runs 19,50,Sri Lanka, West Indies,Sri Lanka,field,Pallekele International Cricket Stadium
10/1/2015,ODI,winner Pakistan by runs 131,50,Zimbabwe, Pakistan,Zimbabwe,field,Harare Sports Club
10/3/2015,ODI,winner Zimbabwe by runs 5,50,Zimbabwe, Pakistan,Pakistan,field,Harare Sports Club
10/5/2015,ODI,winner Pakistan by wickets 7,50,Zimbabwe, Pakistan,Pakistan,field,Harare Sports Club
10/9/2015,ODI,winner Zimbabwe by wickets 2,50,Zimbabwe, Ireland,Zimbabwe,field,Harare Sports Club
10/11/2015,ODI,winner Zimbabwe by wickets 5,50,Zimbabwe, Ireland,Zimbabwe,field,Harare Sports Club
10/13/2015,ODI,winner Ireland by wickets 2,50,Zimbabwe, Ireland,Ireland,field,Harare Sports Club
10/16/2015,ODI,winner Zimbabwe by wickets 8,50,Zimbabwe, Afghanistan,Afghanistan,bat,Queens Sports Club
10/18/2015,ODI,winner Afghanistan by runs 58,50,Zimbabwe, Afghanistan,Afghanistan,bat,Queens Sports Club
10/22/2015,ODI,winner Afghanistan by wickets 3,50,Zimbabwe, Afghanistan,Zimbabwe,bat,Queens Sports Club
11/7/2015,ODI,winner Bangladesh by runs 145,50,Bangladesh, Zimbabwe,Zimbabwe,field,Shere Bangla National Stadium
11/9/2015,ODI,winner Bangladesh by runs 58,50,Bangladesh, Zimbabwe,Zimbabwe,field,Shere Bangla National Stadium
11/11/2015,ODI,winner Bangladesh by runs 61,50,Bangladesh, Zimbabwe,Bangladesh,bat,Shere Bangla National Stadium
12/25/2015,ODI,winner Afghanistan by runs 49,50,Afghanistan, Zimbabwe,Afghanistan,bat,Sharjah Cricket Stadium
12/29/2015,ODI,winner Afghanistan by wickets 4,50,Afghanistan, Zimbabwe,Zimbabwe,bat,Sharjah Cricket Stadium
1/2/2016,ODI,winner Zimbabwe by runs 117,50,Afghanistan, Zimbabwe,Zimbabwe,bat,Sharjah Cricket Stadium
1/4/2016,ODI,winner Zimbabwe by runs 65,50,Afghanistan, Zimbabwe,Zimbabwe,bat,Sharjah Cricket Stadium
1/6/2016,ODI,winner Afghanistan by wickets 2,50,Afghanistan, Zimbabwe,Zimbabwe,bat,Sharjah Cricket Stadium
